name	x	y	z	size	manufacturer
43	38.94	-28.07	7.34	6.4100	AdTech
44	42.13	-24.72	6.43	6.4100	AdTech
47	50.59	-13.72	2.65	6.4100	AdTech
48	52.75	-9.22	1.24	6.4100	AdTech
46	48.37	-16.7	4.07	6.4100	AdTech
86	52.78	-27.61	9.13	6.4100	AdTech
87	57.81	-26.5	8.43	6.4100	AdTech
89	-12.75	-9.25	-24.93	6.4100	AdTech
90	-17.7	-9.76	-24.3	6.4100	AdTech
33	24.98	-7.78	-20.59	6.4100	AdTech
34	29.78	-6.29	-20.16	6.4100	AdTech
130	49.58	36.68	10.84	6.4100	AdTech
131	52.91	27.34	13.54	6.4100	AdTech
49	14.17	-37.68	-11.82	6.4100	AdTech
50	18.63	-34.46	-12.46	6.4100	AdTech
41	32.73	-36	8.35	6.4100	AdTech
42	35.58	-31.97	7.28	6.4100	AdTech
