name	x	y	z	size	manufacturer
137	29.67	-29.34	11.21	6.4100	AdTech
138	32.73	-24.75	10.04	6.4100	AdTech
141	42.38	-13.14	6.03	6.4100	AdTech
142	45.06	-9.83	4.2	6.4100	AdTech
48	-23.1	-4.61	-22.02	6.4100	AdTech
49	-28.46	-3.36	-22.59	6.4100	AdTech
52	-41.9	-0.07	-24.28	6.4100	AdTech
53	-46.74	2.16	-24.57	6.4100	AdTech
82	-29.92	11.7	-13.82	6.4100	AdTech
83	-34.61	12.1	-13.17	6.4100	AdTech
55	-30.62	-22.45	2.78	6.4100	AdTech
56	-35.41	-20.51	2.37	6.4100	AdTech
23	-44.9	-47.19	-23.29	6.4100	AdTech
24	-40.43	-38.27	-25.42	6.4100	AdTech
106	62.82	1.33	-8.61	6.4100	AdTech
107	67.34	-8.99	-6.12	6.4100	AdTech
140	39.37	-17.21	8.08	6.4100	AdTech
141	42.38	-13.14	6.03	6.4100	AdTech
77	-3.97	14.14	-21.97	6.4100	AdTech
78	-9.17	13.58	-20.55	6.4100	AdTech
