name	x	y	z	size	manufacturer
57	35.46	-28.64	4.95	6.4100	AdTech
58	38.98	-28.72	6.53	6.4100	AdTech
59	43.22	-29.66	8.88	6.4100	AdTech
60	47.79	-30.15	10.9	6.4100	AdTech
61	52.94	-29.9	12.27	6.4100	AdTech
62	57.23	-30.24	13.93	6.4100	AdTech
63	62.77	-29.76	15.4	6.4100	AdTech
64	66.71	-29.46	16.99	6.4100	AdTech
49	-13.86	-10.01	-14.39	6.4100	AdTech
50	-18.55	-10.31	-14.39	6.4100	AdTech
51	-23.93	-9.55	-13.96	6.4100	AdTech
52	-28.95	-10.6	-12.27	6.4100	AdTech
89	21.81	-9.83	-18.17	6.4100	AdTech
90	27.36	-7.53	-17.69	6.4100	AdTech
15	16.91	-30.9	-11.06	6.4100	AdTech
16	20.75	-26.49	-12.73	6.4100	AdTech
