name	x	y	z	size	manufacturer
49	-27.01	-26.04	9.88	6.4100	AdTech
50	-29.62	-23.37	8	6.4100	AdTech
51	-32.27	-21.77	7.2	6.4100	AdTech
52	-35.31	-19.87	4.95	6.4100	AdTech
53	-38.21	-16.98	4.45	6.4100	AdTech
54	-41.52	-15.13	2.67	6.4100	AdTech
56	-46.69	-10.48	-0.24	6.4100	AdTech
57	-48.78	-7.44	-2.08	6.4100	AdTech
227	-54.68	22.59	3.82	6.4100	AdTech
235	-51.72	27.99	11.64	6.4100	AdTech
83	-4.41	22.41	-28.36	6.4100	AdTech
84	-6.37	24.93	-18.51	6.4100	AdTech
91	-4.44	10.82	23.19	6.4100	AdTech
92	-7.67	10.13	32.83	6.4100	AdTech
256	-43.19	-3.72	57.11	6.4100	AdTech
255	-44.94	4.92	52.25	6.4100	AdTech
141	-66.62	-31.76	9.62	6.4100	AdTech
142	-65.83	-25.68	2.53	6.4100	AdTech
