name	x	y	z	size	manufacturer
99	-47.62	-11.38	4.68	6.4100	AdTech
100	-51.26	-7.82	4.99	6.4100	AdTech
123	-21.53	-4.3	-24.01	6.4100	AdTech
124	-25.93	-3.05	-23.61	6.4100	AdTech
121	-13.18	-7.24	-24.64	6.4100	AdTech
122	-17.65	-5.42	-24.06	6.4100	AdTech
125	-30.64	-1.74	-22.83	6.4100	AdTech
126	-35.76	-0.38	-21.54	6.4100	AdTech
101	-54.16	-4.6	3.14	6.4100	AdTech
102	-56.86	-1.03	2.3	6.4100	AdTech
100	-51.26	-7.82	4.99	6.4100	AdTech
97	-41.33	-18.6	6.25	6.4100	AdTech
98	-44.76	-14	5.26	6.4100	AdTech
